sales_id,age,country,membership_status,previous_purchases,destination,stay_length,guests,travel_month,months_before_travel,earlybird_discount,package_Type,cost,rating,margin,additional_services_cost
20,18,Spain,standard,7,Sydney,8,3,1,2,False,Adventure,1422.33,6,1611.7908709998376,207.81607406326322
21,61,Canada,silver,2,Tokyo,3,1,12,7,True,Cultural,1184.82,6,817.8780057803225,181.33412099609222
22,36,USA,standard,5,Paris,6,4,7,5,True,Relaxation,2613.52,7,1954.9074416812894,256.6910061378257
23,41,Spain,gold,5,Cairo,5,2,8,2,True,Adventure,1001.952,7,899.9368824181062,222.38343714870828
24,18,France,silver,2,Rio,7,3,6,1,True,Relaxation,1604.96,7,936.2005273864793,329.80107723477477
25,31,UK,gold,7,Rome,7,1,2,1,False,Relaxation,1157.4,6,717.1772370008142,408.8824120860969
26,41,Germany,gold,5,Tokyo,9,1,7,1,False,Cultural,2724.54,6,2592.283699615767,436.7661069752573
27,22,Australia,standard,5,Rio,7,5,8,1,False,Adventure,1252.8319999999999,6,1285.512241376832,73.94439876114001
28,45,UK,standard,1,Paris,2,2,1,1,False,Cultural,700.83,7,10.95475510920653,184.59928884342924
29,30,Australia,gold,7,Tokyo,8,3,7,5,True,Adventure,2622.4379999999996,6,2321.918709352478,396.0183297627005
30,35,Italy,gold,6,Tokyo,5,1,12,1,False,Cultural,1648.9199999999998,7,1347.8159664258396,156.6087502223927
31,30,Italy,standard,3,Tokyo,2,1,2,2,False,Cultural,535.6,5,318.8231093958895,67.94555117692887
32,67,Canada,gold,6,Cape Town,7,3,7,9,False,Cultural,1676.6399999999999,6,1362.035623414744,435.5285868115299
33,39,Spain,standard,4,Sydney,2,2,7,2,True,Adventure,1088.36,6,745.0606923763239,180.37705670634867
34,24,USA,standard,0,New York,6,3,2,3,False,Adventure,796.6822500000002,6,753.2048777649061,163.6757975335771
35,52,Canada,gold,6,New York,2,2,8,2,False,Cultural,940.2119999999999,7,652.6309883809904,246.8948556173467
36,21,Italy,standard,2,New York,4,2,7,1,True,Cultural,1501.5,6,1285.42041240812,261.87072299839133
37,43,Australia,silver,4,Tokyo,7,3,6,1,False,Adventure,2334.15,5,1934.4066034666412,470.9101118978714
38,18,Spain,standard,4,Paris,9,3,2,1,False,Relaxation,2039.3100000000002,5,1434.2195176709238,300.7359737981461
39,20,Canada,standard,4,Sydney,2,2,8,14,False,Adventure,684.1379999999999,7,466.0834260771546,112.55169745094756
40,42,Australia,standard,3,Tokyo,4,1,7,7,False,Adventure,1328.4180000000001,6,1213.7819344652953,176.72784691098911
41,51,USA,standard,5,Rio,7,1,7,5,False,Relaxation,1714.6080000000002,7,558.4728902457832,465.9851324501896
42,42,Australia,silver,1,New York,7,5,2,1,False,Cultural,2184.0,6,1825.4425729215297,401.00495068607046
43,38,USA,silver,1,Paris,7,3,2,3,False,Cultural,1801.8,6,1385.5685645711942,240.13146519780554
44,35,UK,standard,7,Rome,5,5,2,8,False,Cultural,1196.1000000000001,6,745.8467587247377,154.48219171223172
45,18,Australia,standard,3,Paris,7,5,7,4,False,Relaxation,2877.4199999999996,6,2349.364089453208,828.6769741388234
46,29,Canada,standard,3,New York,8,2,1,1,False,Cultural,1702.3500000000001,7,1518.4725614261479,422.21234901126917
47,33,Spain,standard,2,Tokyo,9,3,1,3,True,Cultural,2281.5,7,2074.125004614269,297.28135180773205
48,55,Italy,standard,1,Cairo,1,2,7,1,True,Relaxation,527.7888,5,375.31667028498697,203.7398321751013
49,45,Germany,standard,1,Sydney,5,3,6,1,False,Cultural,2043.86,5,1480.5912377662578,337.27123310775664
50,18,Canada,standard,4,Sydney,3,4,12,6,False,Cultural,1632.54,7,1203.673229863315,203.07206320552717
51,44,France,standard,2,Tokyo,4,5,12,22,False,Adventure,2083.9,6,1920.8231427053252,323.2354182335089
52,34,Spain,standard,2,Sydney,7,3,6,1,False,Cultural,2728.18,6,2085.346022059635,403.6415575975836
53,29,Germany,standard,2,New York,8,2,7,5,True,Cultural,2699.06,5,2436.0270523831036,575.577622418455
54,49,Italy,standard,3,New York,5,1,7,8,False,Cultural,1643.4599999999998,7,1504.5225107145727,296.01148477231186
55,55,Canada,standard,4,Rome,6,3,6,10,False,Relaxation,2457.8399999999997,6,1152.730604413979,430.5567109538725
56,53,Italy,standard,3,New York,2,1,8,1,False,Adventure,900.9,5,506.73879854038466,98.96824895816516
57,27,Australia,standard,4,Cairo,7,4,8,1,False,Cultural,1716.96,7,1660.9105880131792,267.13656265596705
58,35,UK,silver,6,New York,1,1,6,3,False,Adventure,467.73999999999995,6,73.57704821639982,-77.29497579010497
59,44,France,standard,4,Sydney,5,2,12,1,False,Cultural,1730.82,6,1125.797648271739,333.8714188666516
60,54,Australia,standard,3,New York,2,3,7,3,True,Adventure,1343.16,7,1102.7208129105993,246.60977110861583
61,32,USA,standard,2,Paris,3,1,12,6,False,Adventure,1026.48,5,449.98458164363615,133.51389257213194
62,37,UK,gold,5,Sydney,5,1,2,2,False,Adventure,1277.9,6,946.581027350208,180.32055374571237
63,23,Spain,standard,4,Rome,3,3,7,3,True,Cultural,1111.32,7,761.8448253534295,133.20320698858498
64,22,France,gold,6,Rio,12,2,1,2,False,Cultural,1621.6000000000001,6,1011.9499125988268,287.36534074617197
65,52,Australia,standard,5,New York,2,2,8,2,False,Adventure,951.8599999999999,6,637.8836883259283,274.98230438583266
66,60,UK,gold,7,Cairo,1,4,12,1,False,Relaxation,982.1951999999999,6,587.511139032908,291.2189729661553
67,38,USA,silver,6,Cairo,1,2,8,4,True,Relaxation,442.40000000000003,5,401.30865161928807,182.8276773533418
68,55,France,silver,3,Cape Town,11,2,1,3,False,Relaxation,2088.7999999999997,7,839.2941840182991,356.65280987509436
69,45,Germany,standard,4,Tokyo,6,1,2,2,True,Relaxation,1998.36,5,1136.5069500845962,421.09039121876293
70,30,Spain,gold,6,Cape Town,11,2,6,2,False,Adventure,2222.08,7,1548.5880386272204,485.27292843636366
71,45,France,silver,0,Tokyo,9,2,12,1,False,Relaxation,4239.871999999999,6,2751.2536099022755,1323.4713349318206
72,63,Spain,silver,1,Cape Town,2,2,6,3,True,Adventure,591.36,7,31.050633416107758,208.3262778340564
73,39,Italy,silver,3,Paris,3,1,12,1,False,Relaxation,1010.6460000000001,5,479.891744443334,266.96623965637536
74,63,Spain,standard,4,Paris,5,3,8,3,False,Relaxation,2623.4208,6,1310.7503678220207,815.7593624245374
75,18,UK,gold,6,Cape Town,4,3,1,1,True,Cultural,817.6,8,217.31790861071693,46.791709184831575
76,52,UK,standard,4,Cape Town,3,2,8,2,False,Relaxation,1053.696,5,427.47025770110685,322.76983535460056
77,41,USA,standard,3,Cairo,3,1,8,1,False,Relaxation,1016.064,5,653.7401923836661,304.38648290136325
78,35,France,silver,3,Sydney,2,2,2,1,True,Relaxation,716.3000000000001,6,127.5475776851871,72.8951624042885
79,41,Australia,standard,4,Sydney,6,1,8,3,True,Cultural,1318.1805,6,890.3063356058439,355.4636476709847
80,18,Germany,gold,6,Tokyo,6,5,12,3,False,Adventure,1784.8739999999998,7,2222.3009254227304,147.81066991451718
81,36,UK,standard,5,Rio,22,4,8,3,False,Cultural,4216.8,6,3659.5027380781853,605.200696738514
82,45,UK,silver,1,Cairo,6,3,2,1,False,Cultural,904.32,6,648.7202732782063,143.32130320976532
83,62,UK,silver,4,Tokyo,8,2,7,1,False,Cultural,2782.78,6,2583.3838921536194,335.02785407478774
84,32,UK,silver,4,New York,6,1,1,5,True,Cultural,1458.6000000000001,7,1302.183423449044,322.9419333334955
85,27,Italy,standard,4,Paris,3,2,7,3,False,Relaxation,1289.106,5,693.995607186097,273.66636134001936
86,32,France,standard,1,Paris,4,1,7,4,True,Cultural,997.542,5,451.39894146827874,96.77447156432736
87,53,USA,gold,4,Cape Town,7,2,7,2,False,Cultural,1445.92,7,773.1568515836768,310.2436034302246
88,44,UK,gold,6,Tokyo,16,3,8,4,False,Adventure,4935.84,8,4794.417404790856,661.6380863837251
89,32,Germany,standard,5,Sydney,7,2,8,4,True,Adventure,2538.8999999999996,6,1920.5684497790294,546.9556156447309
90,47,USA,standard,4,Cairo,2,1,12,2,False,Relaxation,663.2639999999999,5,400.34456224838823,107.003292131491
91,41,France,gold,6,Cairo,11,3,2,1,False,Adventure,1488.2400000000002,6,1468.8903252518253,258.91142476236763
92,54,Italy,silver,5,Rio,5,2,8,3,False,Cultural,1078.56,7,498.48125900749585,138.5970792468855
93,29,UK,standard,1,Tokyo,4,4,6,3,False,Cultural,1912.82,7,1660.1520074236828,394.85004906143604
94,35,France,standard,2,Cape Town,4,3,12,7,False,Cultural,1134.56,7,769.9010816527418,125.45303916165365
95,34,Germany,silver,1,Paris,3,1,12,1,True,Cultural,981.1619999999999,5,300.93593689115755,174.56067592633298
96,18,Canada,silver,3,Rome,3,1,6,4,False,Relaxation,807.8,7,247.59265637716828,206.77029394870863
97,44,Canada,standard,3,Cairo,3,1,2,2,False,Cultural,480.8,7,431.3724739666615,110.83444734958007
98,43,Italy,standard,0,Tokyo,12,3,8,1,False,Relaxation,5496.035999999999,7,3714.6143975058512,1885.1594916545428
99,40,Germany,standard,4,Cape Town,5,5,6,2,False,Relaxation,1458.24,7,821.4435830269608,520.1218790300532
100,36,Italy,standard,2,Cape Town,4,4,1,3,True,Adventure,908.0,6,431.2902411088554,144.72402256142192
101,18,UK,standard,2,Paris,2,1,6,9,True,Relaxation,727.2719999999999,6,399.0882827246377,160.46337144706501
102,33,UK,standard,1,Sydney,9,4,6,9,True,Relaxation,3377.9199999999996,6,2747.460279659248,706.1974896951041
103,34,Italy,standard,4,Rome,6,3,8,2,True,Relaxation,1171.8000000000002,5,643.2255122120177,369.8630036455258
104,27,USA,standard,5,Rome,3,2,12,1,False,Relaxation,1094.8,6,402.84302477100107,208.93294348731098
105,37,UK,standard,6,Cairo,3,1,1,3,False,Relaxation,406.08000000000004,5,335.52108798561994,128.55768547921446
106,46,USA,standard,1,Sydney,2,2,1,1,False,Adventure,754.0,5,321.6829582080716,91.90172068530413
107,68,UK,standard,3,Tokyo,4,3,1,4,False,Adventure,1206.4,7,965.380675667448,83.69823299106771
108,42,France,standard,2,Sydney,10,2,6,2,False,Adventure,3230.5,7,2590.216636613707,578.2144158879393
109,43,Australia,standard,7,Sydney,6,5,2,1,True,Adventure,1318.8825000000002,5,688.5503857436229,319.56316999541843
110,38,Australia,standard,2,New York,4,3,12,1,False,Relaxation,1665.3,5,1447.157762084582,402.2807286250739
111,18,Germany,gold,6,Cape Town,5,3,6,12,False,Cultural,1337.28,7,952.7850768859355,256.3079749556134
112,39,Spain,standard,4,Cape Town,3,1,1,6,False,Cultural,469.6,7,96.75059681824735,149.48480294506479
113,40,Spain,silver,2,Cape Town,1,2,12,1,False,Cultural,481.6,6,-6.046895225187313,77.15243518773019
114,76,Spain,standard,2,Rio,4,2,8,4,True,Adventure,935.2,6,435.0999900123702,157.73343011018284
115,37,France,gold,6,Tokyo,5,3,8,2,False,Adventure,2091.18,6,1717.085340275504,226.9874038729025
116,44,Spain,gold,7,Tokyo,14,1,6,2,False,Cultural,4198.74,7,3841.1478007688193,915.0006460479955
117,39,Australia,standard,3,Cairo,3,4,8,1,False,Cultural,1032.64,5,754.9811342129478,174.6201562560639
118,22,Spain,silver,3,Sydney,3,1,1,3,False,Cultural,876.2,5,533.246560639936,289.810306382431
119,57,Canada,standard,3,New York,2,3,7,4,False,Relaxation,1414.9044000000001,7,857.5212123128532,359.4561127012851
120,51,Canada,silver,2,Sydney,4,4,8,1,True,Adventure,1921.9199999999998,7,1576.2934811515156,212.88525663568305
121,51,Spain,gold,7,Rome,6,2,6,2,False,Relaxation,2035.6559999999997,6,1006.0825796278293,524.4518867587758
122,26,Spain,gold,6,New York,7,2,6,3,True,Cultural,2333.2400000000002,8,1937.9623950014493,346.9724238283167
123,61,USA,standard,2,Rio,4,2,7,3,False,Cultural,889.056,6,215.94906095267243,261.19030711824274
124,18,Italy,gold,5,Cape Town,3,2,1,4,False,Cultural,523.2,8,56.6746813752635,165.42827477647864
125,48,Canada,standard,3,Tokyo,4,1,6,5,False,Cultural,1496.04,7,1332.2607828043347,138.24040291790115
126,72,UK,gold,4,Rio,5,2,2,9,False,Cultural,840.8000000000001,6,452.69643581786806,201.83504646590995
127,25,USA,silver,5,Paris,6,4,8,1,False,Cultural,2497.04,7,1984.3522694113856,689.8473222192033
128,31,France,gold,7,New York,3,2,6,5,False,Cultural,1435.98,7,1050.4990303939253,277.3968895545939
129,41,Australia,standard,3,Rome,3,1,7,6,True,Relaxation,1156.3999999999999,7,454.00896034407657,61.09560512775366
130,32,Spain,gold,6,Tokyo,2,2,12,7,False,Relaxation,1030.1200000000001,6,915.7864879918993,210.2294421695845
131,18,Australia,gold,5,Tokyo,5,2,12,5,False,Relaxation,1731.366,6,1530.4856993930703,465.35050673721275
132,41,Canada,standard,10,Tokyo,4,2,7,2,False,Adventure,1696.24,7,1439.0460094281618,227.35893755564695
133,24,Canada,standard,4,New York,7,3,8,1,False,Cultural,2293.2000000000003,7,2018.1253137282515,512.3933657190729
134,47,UK,standard,2,Cairo,16,2,2,7,False,Cultural,1948.3200000000002,7,1884.0011383805127,326.8234803709251
135,26,Australia,silver,4,Paris,8,5,12,3,False,Adventure,3239.6,7,2737.247603093739,394.54869434702937
136,63,Spain,standard,2,Rome,1,2,8,10,False,Relaxation,652.68,5,-145.17453808396823,107.49928688606738
137,28,Italy,standard,6,Cairo,5,2,1,2,False,Relaxation,693.3600000000001,6,659.3918846364597,245.5685594098482
138,35,Canada,standard,2,Cape Town,10,2,1,6,False,Adventure,1409.6000000000001,6,994.9552907719931,178.3751580214313
139,52,Australia,standard,2,Rome,2,3,8,9,False,Relaxation,1370.0399999999997,7,402.64134107683776,225.59784434587374
140,21,Australia,silver,3,Tokyo,9,1,7,4,False,Adventure,1799.0153999999998,6,2422.1770312579574,380.67465968928184
141,43,Canada,silver,4,Sydney,8,1,8,2,False,Cultural,2395.12,6,1765.9767073070793,386.8003870784875
142,59,Australia,standard,6,Paris,3,5,2,4,True,Adventure,1367.6000000000001,7,726.4102312185723,303.84229463941676
143,18,Canada,standard,3,Rio,3,5,12,2,False,Adventure,722.5344,7,439.5337123972215,94.86001757749312
144,42,Spain,standard,4,Cairo,1,3,1,8,True,Cultural,398.16,7,379.37637127798405,209.74103186071443
145,43,Spain,standard,7,Paris,10,1,6,1,False,Relaxation,3976.4088,7,2224.3462658516046,1109.264309714035
146,51,Germany,standard,4,Rome,2,2,2,3,True,Adventure,487.8,5,-151.65881534686554,105.93754681313717
147,21,Canada,silver,5,New York,8,5,7,1,False,Adventure,2093.6915999999997,4,2834.603694486987,244.45562981191944
148,20,Australia,standard,1,Rio,11,3,12,7,False,Adventure,1534.2879999999998,8,1787.2132904830105,101.0447230211633
149,47,Germany,standard,2,New York,8,1,6,2,False,Relaxation,3462.732,7,2321.901425370357,639.4745401219132
150,44,Spain,gold,5,Tokyo,20,2,1,6,False,Adventure,4269.2,6,3966.8745311631756,551.4864511666121
151,43,Australia,standard,3,Rome,5,2,7,1,False,Relaxation,1936.4799999999996,6,1023.8733394529919,617.1372484456449
152,45,Australia,standard,3,Cape Town,6,3,8,4,False,Relaxation,2068.192,5,824.9369217017636,452.6974024704531
153,29,Italy,standard,4,Paris,3,1,12,1,False,Adventure,1031.94,6,602.6211882841208,122.74132384919452
154,43,Germany,standard,1,Rio,7,2,12,4,True,Relaxation,2036.832,6,899.0589259798433,362.6995790894661
155,44,France,standard,1,Cape Town,3,5,2,2,False,Adventure,794.4000000000001,6,138.5322397038011,156.08910124536985
156,29,UK,silver,0,Cairo,9,1,8,6,False,Adventure,1493.856,6,1274.87089071406,66.69659843751944
157,67,Germany,silver,2,Rome,7,4,12,10,False,Cultural,1942.9199999999998,5,1401.7546685896618,357.25224308477743
158,47,Spain,standard,3,Rome,6,3,2,5,False,Adventure,1086.3,7,700.9996732583945,233.00966593680977
159,22,France,gold,6,Paris,5,2,8,1,True,Cultural,1223.5859999999998,6,887.2550831277952,196.51124734429857
160,49,France,gold,5,Tokyo,3,2,6,1,False,Cultural,1363.1799999999998,8,1121.0392478081944,183.13509222271887
161,25,Australia,silver,1,New York,9,2,7,3,True,Adventure,2088.086,4,2635.187372111874,381.7420093149645
162,51,Australia,gold,5,Sydney,6,3,7,1,False,Adventure,1525.797,8,854.9762857101301,135.17431203467243
163,57,Spain,silver,3,Rio,1,1,8,2,False,Relaxation,460.9919999999999,7,-273.45974342231057,32.02074026794881
164,27,UK,silver,4,Sydney,4,1,6,1,True,Relaxation,1463.28,7,1084.0317494042288,440.69231700863446
165,54,Italy,gold,7,Cape Town,8,4,7,9,False,Adventure,1830.08,8,1380.1011165219766,287.65621812844944
166,46,Germany,gold,6,Cairo,8,3,1,1,True,Adventure,1151.28,7,899.3779212916852,167.022982343034
167,52,Canada,gold,6,Cape Town,1,3,7,2,True,Adventure,557.76,8,-108.81148413275594,61.23836427081222
168,68,Italy,silver,6,Cape Town,3,4,2,5,False,Cultural,735.2,7,193.7990326911539,107.11535926215215
169,36,Australia,standard,3,Paris,3,1,7,1,True,Adventure,1235.78,6,559.7651963502672,227.2989973306892
170,28,Italy,standard,1,New York,8,3,12,1,True,Adventure,2850.1199999999994,6,2505.055700113896,321.15027683865935
171,26,Germany,silver,1,Tokyo,4,2,7,3,False,Relaxation,1530.62,5,1388.579250243226,411.3693873287078
172,27,USA,silver,3,Tokyo,4,4,12,2,False,Adventure,1931.02,5,1780.817244942157,302.0593889167216
173,38,Australia,standard,2,Sydney,3,1,7,1,False,Adventure,706.3875,7,99.41750362143489,92.38570195014842
174,45,Canada,standard,4,Paris,8,1,7,1,False,Relaxation,3383.7439999999997,7,1853.4437253050628,770.6289342031354
175,44,Australia,standard,3,Rio,4,3,12,5,False,Cultural,1139.04,6,545.2118378141593,172.78281967366084
176,52,France,silver,2,Paris,1,3,1,2,False,Cultural,441.3825,7,-48.1588544576029,-1.624807741444684
177,40,Italy,silver,5,Tokyo,2,2,12,1,False,Relaxation,1055.6000000000001,6,844.8243672148528,395.44285662937665
178,61,Germany,standard,1,Cape Town,3,3,8,1,False,Adventure,1000.1599999999999,5,568.7613226341119,61.446865567770956
179,36,UK,gold,5,Paris,10,2,8,2,True,Relaxation,2971.332,8,2402.7971047630963,698.6068977204592
180,80,USA,silver,2,Rio,9,2,7,2,False,Adventure,1690.416,5,1290.098038605774,173.43305582245506
181,49,Canada,silver,1,Tokyo,3,3,1,2,False,Relaxation,1585.2199999999998,6,750.064578069059,410.55754668460423
182,27,Spain,silver,4,Rio,5,1,7,1,True,Relaxation,1013.6,5,571.9267268946672,314.02349136150116
183,23,Australia,gold,6,Paris,1,2,8,1,True,Adventure,482.846,8,290.35406373269694,136.04933641342888
184,47,Canada,gold,6,Cairo,8,2,12,11,False,Cultural,1580.32,8,1119.9529556469154,233.05698707884392
185,36,UK,gold,5,Rome,7,3,7,3,False,Relaxation,1850.94,6,1448.8052799008178,570.0955383930772
186,50,USA,standard,3,Rome,5,3,6,2,False,Adventure,1674.3999999999999,5,1208.5684402349552,83.1222246051988
187,47,Italy,standard,5,Rio,5,4,1,5,False,Adventure,1016.8000000000001,5,638.7942667859352,52.91215992409213
188,38,Canada,silver,5,Tokyo,2,5,1,2,False,Adventure,1131.0,7,909.6681888799853,115.58081116734078
189,27,Germany,gold,7,Paris,3,4,6,3,True,Cultural,1520.0639999999999,8,1117.355115209289,288.07626135777974
190,18,Germany,standard,3,Rio,6,4,1,15,True,Cultural,1064.8,7,415.3918624999453,179.83790073590905
191,33,Canada,standard,2,Cairo,4,2,6,3,False,Adventure,962.0799999999999,7,792.4791392453137,182.86175884326207
192,52,Italy,gold,5,Rio,4,2,12,1,True,Adventure,973.28,7,297.4942705614462,85.78036146798193
193,43,USA,silver,4,Cairo,15,2,1,1,False,Adventure,1976.8000000000002,5,1758.954836410457,390.5644826088504
194,21,Australia,silver,2,Cairo,5,3,2,6,False,Cultural,868.8000000000001,7,678.9497017116649,143.85196008308247
195,42,Germany,silver,5,Sydney,7,1,12,1,False,Cultural,2102.1,5,1513.1449879269785,265.280905092233
196,45,Australia,standard,3,Paris,18,1,12,1,False,Cultural,5274.36,6,4962.424739923702,612.680859935676
197,26,Australia,gold,4,Rio,1,4,7,4,True,Cultural,748.16,7,326.7562413309315,101.47049348401497
198,42,Canada,silver,3,Cairo,6,2,8,2,True,Relaxation,1765.5679999999998,7,924.410692537509,466.9584195001144
199,40,Germany,silver,3,Rio,3,2,2,4,False,Cultural,614.4000000000001,5,8.833182807404455,167.76536041604632
200,22,Canada,silver,1,Sydney,8,2,8,2,False,Cultural,2548.0,7,2119.770556755066,409.08738655390937
201,45,UK,standard,2,Cape Town,5,1,8,5,False,Relaxation,1364.16,6,296.37172766827575,314.6912394760184
202,48,Australia,silver,1,Paris,2,5,2,9,False,Cultural,1119.3,7,625.2576341793774,176.5607009075618
203,56,USA,standard,5,Cape Town,2,2,6,4,False,Adventure,720.16,7,403.05096424068313,42.05276022369329
204,55,Spain,standard,4,New York,3,5,6,8,True,Cultural,1947.4,5,1835.4278797558172,160.746600211364
205,19,France,silver,3,Rome,5,2,12,9,False,Relaxation,1382.22,6,933.0580940499763,312.7716657564064
206,25,Australia,standard,7,Cape Town,11,3,12,5,False,Adventure,1583.68,7,1746.3737109639274,186.23827661658862
207,47,USA,gold,6,Rio,12,4,8,2,False,Relaxation,3192.1344,7,1976.882362099916,901.1831514722467
208,47,Canada,silver,1,Paris,5,2,7,5,False,Relaxation,2637.18,6,1541.944510425884,606.3145797638178
209,47,Germany,standard,1,Rio,9,2,7,4,False,Adventure,1873.76,6,1276.9738230322025,307.28505875713506
210,80,Australia,standard,6,Paris,7,3,8,1,False,Adventure,2709.98,6,2176.611402469451,141.85540854803878
211,48,UK,standard,4,New York,8,2,8,10,True,Relaxation,3684.4079999999994,5,2404.7108101393264,744.9179825863974
212,57,Australia,gold,5,Cape Town,5,1,6,1,True,Relaxation,1353.1839999999997,8,591.1053342560649,260.6453427287159
213,54,USA,standard,5,Sydney,1,3,6,3,False,Relaxation,1200.108,5,477.88365139780353,139.5847081225017
214,49,Italy,silver,5,Cairo,2,3,12,5,False,Relaxation,980.7839999999999,5,510.84300742466894,236.95763095527445
215,35,Spain,standard,3,Cape Town,3,1,8,6,False,Relaxation,721.28,5,42.90148316595992,143.3454172279821
216,51,USA,silver,5,Cape Town,4,1,12,2,False,Cultural,873.6,7,463.16735991916534,127.12165169153079
217,28,USA,standard,2,Rio,2,3,2,5,False,Adventure,518.4,6,-127.79116669605276,136.24065703424486
218,36,Germany,standard,2,Rio,10,3,8,1,False,Cultural,2021.6000000000001,7,1640.163485417072,399.31458297421125
219,32,UK,silver,3,New York,3,1,12,3,False,Adventure,1092.0,7,742.7013955369516,126.71858917230125
220,41,UK,standard,6,Sydney,7,2,8,1,False,Cultural,2340.52,7,1919.4380680777476,517.522110721626
221,74,USA,standard,4,Rio,7,1,12,13,False,Adventure,1186.416,5,499.0326594490566,222.96318782091436
222,18,UK,gold,7,Paris,6,1,2,2,False,Relaxation,1177.02,8,792.0327976062035,294.5450292559561
223,50,UK,silver,3,Sydney,7,1,1,1,True,Adventure,1543.1000000000001,5,881.8791668762417,188.26715034819492
224,18,Canada,silver,5,Rio,8,2,2,2,False,Adventure,731.808,6,555.4006494897991,119.08405375662817
225,32,France,standard,4,Cairo,4,2,6,5,True,Relaxation,863.856,5,722.6025051053788,283.9422084814011
226,56,UK,standard,4,Cairo,7,2,7,1,False,Cultural,1322.496,7,983.680443878915,221.24106713759303
227,40,France,standard,2,New York,13,3,1,7,False,Relaxation,2943.2000000000003,5,2836.6029923550423,516.7760925852223
228,23,USA,standard,3,New York,3,4,7,1,True,Adventure,812.6527500000001,6,957.5654050915724,115.16459159614962
229,29,Germany,gold,7,Cairo,6,1,6,1,True,Adventure,1085.616,7,991.586384961041,87.75626015686115
230,50,France,standard,5,Rome,9,2,1,4,True,Adventure,1405.8,5,825.226864032299,214.84132072239845
231,29,Canada,silver,3,Tokyo,4,4,1,3,True,Relaxation,1422.2,6,1185.703715691664,172.97268587077843
232,43,UK,standard,3,Rio,6,3,7,12,False,Adventure,1478.3999999999999,7,978.3054660325498,76.62719501049972
233,40,Canada,standard,3,New York,6,4,2,2,False,Adventure,1568.97,6,1344.2529408599685,260.21467152244537
234,30,Australia,gold,7,Tokyo,2,2,6,4,True,Relaxation,846.846,8,608.88989238735,267.7476646272961
235,72,Canada,standard,2,Rio,4,3,1,1,False,Cultural,728.64,6,94.05199690999268,199.03899072562444
236,49,France,standard,4,Paris,17,1,6,3,True,Cultural,3414.0014999999994,6,2933.9631476581885,643.7188359648475
237,18,Spain,standard,3,Paris,7,2,6,4,False,Cultural,2113.02,7,1528.1562615413748,301.9460377666858
238,42,Canada,gold,4,Tokyo,7,2,6,1,False,Relaxation,3207.932,8,1926.741193109443,899.0185455614447
239,30,Canada,silver,1,Rio,3,4,1,7,False,Cultural,705.6,5,390.0855458496003,81.47335535630687
240,52,Italy,gold,5,Sydney,3,2,1,7,False,Adventure,1012.7,6,554.4070587315339,82.24350996048567
241,28,UK,silver,2,Sydney,6,3,2,2,False,Cultural,1604.2,5,1058.49762050773,406.21586355653676
242,38,Canada,standard,4,Paris,5,2,1,4,False,Relaxation,1327.3,6,780.6877051484435,297.428450416072
243,47,France,silver,3,New York,1,2,8,1,False,Cultural,826.2799999999999,5,623.8621860969413,67.38610536672616
